Kecamatan,Agloenema (tangkai) 2019,Krisan (tangkai) 2019,Mawar (tangkai) 2019,Soka (tangkai) 2019,Agloenema (tangkai) 2020,Krisan (tangkai) 2020,Mawar (tangkai) 2020,Soka (tangkai) 2020,Agloenema (tangkai) 2021,Krisan (tangkai) 2021,Mawar (tangkai) 2021,Soka (tangkai) 2021,Agloenema (tangkai) 2022,Krisan (tangkai) 2022,Mawar (tangkai) 2022,Soka (tangkai) 2022,Agloenema (tangkai) 2023,Krisan (tangkai) 2023,Mawar (tangkai) 2023,Soka (tangkai) 2023,Agloenema (tangkai) 2024,Krisan (tangkai) 2024,Mawar (tangkai) 2024,Soka (tangkai) 2024,Tahun
Banjarmangu,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Banjarmangu,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Banjarmangu,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Banjarmangu,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Banjarmangu,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Banjarmangu,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2024
Banjarnegara,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Banjarnegara,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Banjarnegara,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Banjarnegara,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Banjarnegara,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Banjarnegara,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2024
Bawang,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Bawang,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Bawang,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Bawang,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Bawang,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Bawang,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2024
Kalibening,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Kalibening,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Kalibening,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Kalibening,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Kalibening,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Kalibening,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2024
Karangkobar,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Karangkobar,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Karangkobar,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Karangkobar,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
