Kecamatan,Kolam Pembesaran Ikan Luas,Produksi,Jaring Karamba Apung Luas,Perikanan Sawah (Minapadi) Luas,Produksi Produksi,Luas,Tahun
Banjarmangu,19.76,0,0,0,1300,1,2018
Banjarmangu,19.76,0,0,,0,0,2019
Banjarmangu,,0,,0,,0,2020
Banjarmangu,,0,,0,,0,2021
Banjarmangu,,0,,0,,0,2022
Banjarmangu,,0,,0,,0,2023
Banjarmangu,,0,,0,,0,2024
Banjarnegara,29.29,0,0,0,650,0.5,2018
Banjarnegara,29.29,0,0,,0,0,2019
Banjarnegara,,0,,0,,0,2020
Banjarnegara,,0,,0,,0,2021
Banjarnegara,,0,,0,,0,2022
Banjarnegara,,0,,0,,0,2023
Banjarnegara,,0,,0,,0,2024
Bawang,73.02,84853.52,0.6,0,18200,14,2018
Bawang,73.02,79382,0.6,,19600,14,2019
Bawang,,14030,,0,,13.4,2020
Bawang,,14030,,0,,13.4,2021
Bawang,,0,,0,,0,2022
Bawang,,0,,0,,0,2023
Bawang,,0,,0,,0,2024
Kalibening,11.09,0,0,0,0,0,2018
Kalibening,11.09,0,0,,0,0,2019
Kalibening,,0,,0,,0,2020
Kalibening,,0,,0,,0,2021
Kalibening,,0,,0,,0,2022
Kalibening,,0,,0,,0,2023
Kalibening,,0,,0,,0,2024
Karangkobar,10.8,0,0,0,0,0,2018
Karangkobar,10.8,0,0,,0,0,2019
Karangkobar,,0,,0,,0,2020
Karangkobar,,0,,0,,0,2021
Karangkobar,,0,,0,,0,2022
Karangkobar,,0,,0,,0,2023
Karangkobar,,0,,0,,0,2024
Madukara,36.19,0,0,0,0,0,2018
Madukara,36.19,0,0,,0,0,2019
Madukara,,0,,0,,0,2020
Madukara,,0,,0,,0,2021
Madukara,,0,,0,,0,2022
Madukara,,0,,0,,0,2023
Madukara,,0,,0,,0,2024
Mandiraja,47.05,0,0,0,12350.01,12.5,2018
Mandiraja,47.05,0,0,,17500,12.5,2019
Mandiraja,,16299,,0,,12.5,2020
Mandiraja,,16299,,0,,13,2021
Mandiraja,,27390.26,,0,,17.98,2022
Mandiraja,,19291.93,,0,,17.98,2023
Mandiraja,,9083.33,,0,,17.98,2024
Pagedongan,19.08,0,0,0,650,0.5,2018
Pagedongan,19.08,0,0,,0,0,2019
Pagedongan,,0,,0,,0,2020
Pagedongan,,0,,0,,0,2021
Pagedongan,,0,,0,,0,2022
Pagedongan,,0,,0,,0,2023
Pagedongan,,0,,0,,0,2024
Pagentan,11.78,0,0,0,0,0,2018
Pagentan,11.78,0,0,,0,0,2019
Pagentan,,0,,0,,0,2020
Pagentan,,0,,0,,0,2021
Pagentan,,0,,0,,0,2022
Pagentan,,0,,0,,0,2023
Pagentan,,0,,0,,0,2024
Pandanarum,2.23,0,0,0,0,0,2018
Pandanarum,2.23,0,0,,0,0,2019
Pandanarum,,0,,0,,0,2020
Pandanarum,,0,,0,,0,2021
Pandanarum,,0,,0,,0,2022
Pandanarum,,0,,0,,0,2023
Pandanarum,,0,,0,,0,2024
Pejawaran,10.7,0,0,0,0,0,2018
Pejawaran,10.7,0,0,,0,0,2019
Pejawaran,,0,,0,,0,2020
Pejawaran,,0,,0,,0,2021
Pejawaran,,0,,0,,0,2022
Pejawaran,,0,,0,,0,2023
Pejawaran,,0,,0,,0,2024
Punggelan,48.8,0,0,0,0,0,2018
Punggelan,48.8,0,0,,0,0,2019
Punggelan,,0,,0,,0,2020
Punggelan,,0,,0,,0,2021
Punggelan,,0,,0,,0,2022
Punggelan,,0,,0,,0,2023
Punggelan,,0,,0,,0,2024
Purwonegoro,284.67,0,0,0,55510,43.7,2018
Purwonegoro,284.67,0,0,,61180,43.7,2019
Purwonegoro,,55795,,0,,43.7,2020
Purwonegoro,,55795,,0,,43.7,2021
Purwonegoro,,17909.02,,0,,3.6,2022
Purwonegoro,,3858.39,,0,,3.6,2023
Purwonegoro,,1816.67,,0,,3.6,2024
Purworejo Klampok,23.8,0,0,0,0,0,2018
Purworejo Klampok,23.8,0,0,,0,0,2019
Purworejo Klampok,,0,,0,,0,2020
Purworejo Klampok,,0,,0,,0,2021
Purworejo Klampok,,0,,0,,0,2022
Purworejo Klampok,,0,,0,,0,2023
Purworejo Klampok,,0,,0,,0,2024
Rakit,80.46,0,0,0,28600,22,2018
Rakit,80.46,0,0,,28000,20,2019
Rakit,,1000,,0,,5,2020
Rakit,,1000,,0,,5,2021
Rakit,,0,,0,,0,2022
Rakit,,0,,0,,0,2023
Rakit,,0,,0,,0,2024
Sigaluh,11.22,0,0,0,0,0,2018
Sigaluh,11.22,0,0,,0,0,2019
Sigaluh,,0,,0,,0,2020
Sigaluh,,0,,0,,0,2021
Sigaluh,,0,,0,,0,2022
Sigaluh,,0,,0,,0,2023
Sigaluh,,0,,0,,0,2024
Susukan,3.22,0,0,0,6500,5,2018
Susukan,3.22,0,0,,7000,5,2019
Susukan,,0,,0,,0,2020
Susukan,,0,,0,,0,2021
Susukan,,0,,0,,0,2022
Susukan,,0,,0,,0,2023
Susukan,,0,,0,,0,2024
Wanadadi,46.45,164387.8,3.71,0,0,0,2018
Wanadadi,46.45,153789,3.71,,0,0,2019
Wanadadi,,0,,0,,0,2020
Wanadadi,,0,,0,,0,2021
Wanadadi,,0,,0,,0,2022
Wanadadi,,0,,0,,0,2023
Wanadadi,,0,,0,,0,2024
Wanayasa,24.15,0,0,0,0,0,2018
Wanayasa,24.15,0,0,,0,0,2019
Wanayasa,,0,,0,,0,2020
Wanayasa,,0,,0,,0,2021
Wanayasa,,0,,0,,0,2022
Wanayasa,,0,,0,,0,2023
Wanayasa,,0,,0,,0,2024
Batur,0.23,0,0,0,0,0,2018
Batur,0.23,0,0,,0,0,2019
Batur,,0,,0,,0,2020
Batur,,0,,0,,0,2021
Batur,,0,,0,,0,2022
Batur,,0,,0,,0,2023
Batur,,0,,0,,0,2024
Jumlah,793.99,249241.33,4.31,0,123760.02,99.2,2018
Jumlah,793.99,233171,4.31,,133280,95.2,2019
Jumlah,,87124,,0,,74.6,2020
Jumlah,,87124,,0,,75.1,2021
Jumlah,,45299.28,,0,,21.57,2022
Jumlah,,23150.31,,0,,21.57,2023
Jumlah,,10900,,0,,21.57,2024
